# JPEG (using image magick)


# Berlin.ppm
"Berlin"
 49:   0.6830 bpp     30.2210 dB   ( R:  29.8288 dB   G:  33.0662 dB   B:  28.8030 dB )
 50:   0.6857 bpp     30.2378 dB   ( R:  29.8448 dB   G:  33.0928 dB   B:  28.8169 dB )
 51:   0.6887 bpp     30.2550 dB   ( R:  29.8601 dB   G:  33.1191 dB   B:  28.8320 dB )
 52:   0.7089 bpp     30.3100 dB   ( R:  29.9141 dB   G:  33.2002 dB   B:  28.8782 dB )
 53:   0.7225 bpp     30.3329 dB   ( R:  29.9340 dB   G:  33.2395 dB   B:  28.8974 dB )
 54:   0.7303 bpp     30.3647 dB   ( R:  29.9644 dB   G:  33.2901 dB   B:  28.9234 dB )
 55:   0.7412 bpp     30.3936 dB   ( R:  29.9943 dB   G:  33.3410 dB   B:  28.9435 dB )
 56:   0.7569 bpp     30.4268 dB   ( R:  30.0306 dB   G:  33.3957 dB   B:  28.9664 dB )
 57:   0.7726 bpp     30.4603 dB   ( R:  30.0659 dB   G:  33.4488 dB   B:  28.9914 dB )
 58:   0.7901 bpp     30.4990 dB   ( R:  30.1026 dB   G:  33.5140 dB   B:  29.0224 dB )
 59:   0.8002 bpp     30.5221 dB   ( R:  30.1234 dB   G:  33.5543 dB   B:  29.0411 dB )
 60:   0.8128 bpp     30.5591 dB   ( R:  30.1622 dB   G:  33.6116 dB   B:  29.0695 dB )
 61:   0.8329 bpp     30.6024 dB   ( R:  30.2104 dB   G:  33.6802 dB   B:  29.1002 dB )
 62:   0.8441 bpp     30.6341 dB   ( R:  30.2426 dB   G:  33.7301 dB   B:  29.1252 dB )
 63:   0.8671 bpp     30.6735 dB   ( R:  30.2823 dB   G:  33.7981 dB   B:  29.1545 dB )
 64:   0.8800 bpp     30.7142 dB   ( R:  30.3190 dB   G:  33.8586 dB   B:  29.1916 dB )
 65:   0.9029 bpp     30.7535 dB   ( R:  30.3612 dB   G:  33.9308 dB   B:  29.2175 dB )
 66:   0.9196 bpp     30.7955 dB   ( R:  30.4082 dB   G:  33.9924 dB   B:  29.2491 dB )
 67:   0.9386 bpp     30.8359 dB   ( R:  30.4491 dB   G:  34.0597 dB   B:  29.2799 dB )
 68:   0.9684 bpp     30.8822 dB   ( R:  30.4954 dB   G:  34.1382 dB   B:  29.3155 dB )
 69:   0.9874 bpp     30.9245 dB   ( R:  30.5394 dB   G:  34.1976 dB   B:  29.3511 dB )
 70:   1.0196 bpp     30.9777 dB   ( R:  30.5925 dB   G:  34.2926 dB   B:  29.3907 dB )
 71:   1.0450 bpp     31.0311 dB   ( R:  30.6463 dB   G:  34.3786 dB   B:  29.4333 dB )
 72:   1.0668 bpp     31.0743 dB   ( R:  30.6944 dB   G:  34.4483 dB   B:  29.4643 dB )
 73:   1.0972 bpp     31.1228 dB   ( R:  30.7420 dB   G:  34.5230 dB   B:  29.5053 dB )
 74:   1.1423 bpp     31.1913 dB   ( R:  30.8143 dB   G:  34.6412 dB   B:  29.5554 dB )
 75:   1.1504 bpp     31.2187 dB   ( R:  30.8413 dB   G:  34.6886 dB   B:  29.5770 dB )
 76:   1.1830 bpp     31.2851 dB   ( R:  30.9062 dB   G:  34.7887 dB   B:  29.6341 dB )
 77:   1.2378 bpp     31.3633 dB   ( R:  30.9896 dB   G:  34.9175 dB   B:  29.6931 dB )
 78:   1.2773 bpp     31.4212 dB   ( R:  31.0489 dB   G:  35.0032 dB   B:  29.7417 dB )
 79:   1.3110 bpp     31.4804 dB   ( R:  31.1154 dB   G:  35.0992 dB   B:  29.7845 dB )
 80:   1.3561 bpp     31.5600 dB   ( R:  31.1952 dB   G:  35.2196 dB   B:  29.8521 dB )
 81:   1.4174 bpp     31.6436 dB   ( R:  31.2834 dB   G:  35.3624 dB   B:  29.9153 dB )
 82:   1.4632 bpp     31.7197 dB   ( R:  31.3642 dB   G:  35.4765 dB   B:  29.9772 dB )
 83:   1.5356 bpp     31.8102 dB   ( R:  31.4578 dB   G:  35.6120 dB   B:  30.0528 dB )
 84:   1.5937 bpp     31.8999 dB   ( R:  31.5468 dB   G:  35.7546 dB   B:  30.1284 dB )
 85:   1.6548 bpp     31.9981 dB   ( R:  31.6506 dB   G:  35.8994 dB   B:  30.2099 dB )
 86:   1.7489 bpp     32.1063 dB   ( R:  31.7651 dB   G:  36.0771 dB   B:  30.2951 dB )
 87:   1.8177 bpp     32.2111 dB   ( R:  31.8767 dB   G:  36.2309 dB   B:  30.3822 dB )
 88:   1.9406 bpp     32.3401 dB   ( R:  32.0133 dB   G:  36.4452 dB   B:  30.4838 dB )
 89:   2.0359 bpp     32.4670 dB   ( R:  32.1486 dB   G:  36.6415 dB   B:  30.5877 dB )
 90:   3.2228 bpp     34.9396 dB   ( R:  34.7456 dB   G:  37.9028 dB   B:  33.3293 dB )
 91:   3.4863 bpp     35.2733 dB   ( R:  35.0997 dB   G:  38.2638 dB   B:  33.6389 dB )
