# HEVC (using HM)


# Berlin.ppm
"Berlin"
  3:   6.4120 bpp     34.4243 dB   ( R:  34.0969 dB   G:  40.8396 dB   B:  32.1367 dB )
  2:   6.5392 bpp     34.4258 dB   ( R:  34.0982 dB   G:  40.8416 dB   B:  32.1382 dB )
  1:   6.7582 bpp     34.4271 dB   ( R:  34.0993 dB   G:  40.8432 dB   B:  32.1395 dB )
  0:   6.9322 bpp     34.4274 dB   ( R:  34.0995 dB   G:  40.8434 dB   B:  32.1399 dB )


# Castle.ppm
"Castle"
 51:   0.0200 bpp     21.5857 dB   ( R:  21.1821 dB   G:  21.6291 dB   B:  21.9832 dB )
 50:   0.0256 bpp     21.8576 dB   ( R:  21.4508 dB   G:  21.8931 dB   B:  22.2674 dB )
 49:   0.0331 bpp     22.1556 dB   ( R:  21.7515 dB   G:  22.1930 dB   B:  22.5600 dB )
 48:   0.0444 bpp     22.5454 dB   ( R:  22.1363 dB   G:  22.5798 dB   B:  22.9594 dB )
 47:   0.0569 bpp     22.9163 dB   ( R:  22.5030 dB   G:  22.9395 dB   B:  23.3475 dB )
 46:   0.0741 bpp     23.3548 dB   ( R:  22.9423 dB   G:  23.3814 dB   B:  23.7813 dB )
 45:   0.0939 bpp     23.7992 dB   ( R:  23.3899 dB   G:  23.8237 dB   B:  24.2241 dB )
 44:   0.1184 bpp     24.2823 dB   ( R:  23.8866 dB   G:  24.3185 dB   B:  24.6781 dB )
 43:   0.1471 bpp     24.7968 dB   ( R:  24.3964 dB   G:  24.8437 dB   B:  25.1866 dB )
 42:   0.1807 bpp     25.3088 dB   ( R:  24.9362 dB   G:  25.3923 dB   B:  25.6264 dB )
 41:   0.2193 bpp     25.8539 dB   ( R:  25.5028 dB   G:  25.9651 dB   B:  26.1177 dB )
 40:   0.2636 bpp     26.4103 dB   ( R:  26.0855 dB   G:  26.5834 dB   B:  26.5812 dB )
 39:   0.3138 bpp     26.9996 dB   ( R:  26.6977 dB   G:  27.2053 dB   B:  27.1127 dB )
 38:   0.3691 bpp     27.5502 dB   ( R:  27.2885 dB   G:  27.8436 dB   B:  27.5363 dB )
 37:   0.4341 bpp     28.1954 dB   ( R:  27.9666 dB   G:  28.5505 dB   B:  28.0907 dB )
 36:   0.5037 bpp     28.7822 dB   ( R:  28.5987 dB   G:  29.2466 dB   B:  28.5362 dB )
 35:   0.5771 bpp     29.3923 dB   ( R:  29.2381 dB   G:  29.9400 dB   B:  29.0488 dB )
 34:   0.6610 bpp     29.9845 dB   ( R:  29.8936 dB   G:  30.6806 dB   B:  29.4654 dB )
 33:   0.7509 bpp     30.6165 dB   ( R:  30.5714 dB   G:  31.4227 dB   B:  29.9757 dB )
 32:   0.8466 bpp     31.2457 dB   ( R:  31.2368 dB   G:  32.1851 dB   B:  30.4812 dB )
