# HEVC (using HM)


# Berlin.pgm
"Berlin"
 25:   1.0609 bpp     37.4956 dB
 24:   1.2545 bpp     38.5585 dB
 23:   1.4299 bpp     39.5331 dB
 22:   1.6182 bpp     40.5828 dB
 21:   1.8111 bpp     41.6442 dB
 20:   2.0029 bpp     42.6805 dB
 19:   2.2050 bpp     43.7845 dB
 18:   2.4075 bpp     44.8962 dB
 17:   2.5902 bpp     45.8893 dB
 16:   2.7860 bpp     46.9827 dB
 15:   2.9809 bpp     48.0443 dB
 14:   3.1801 bpp     49.1348 dB
 13:   3.3941 bpp     50.3210 dB
 12:   3.5556 bpp     51.1459 dB
 11:   3.7374 bpp     52.0730 dB
 10:   3.9477 bpp     53.2026 dB
  9:   4.1745 bpp     54.4075 dB
  8:   4.3919 bpp     55.7032 dB
  7:   4.6026 bpp     57.4031 dB
  6:   4.8226 bpp     59.6977 dB
  5:   4.9875 bpp     63.1387 dB
  4:   5.1107 bpp     73.7805 dB
  3:   5.2006 bpp     82.2248 dB
  2:   5.3395 bpp     89.0326 dB
  1:   5.5128 bpp     93.9741 dB
  0:   5.6519 bpp    100.1720 dB


# Walrus.pgm
"Walrus"
 51:   0.0363 bpp     22.4825 dB
 50:   0.0444 bpp     22.9917 dB
 49:   0.0544 bpp     23.5288 dB
 48:   0.0656 bpp     24.0849 dB
 47:   0.0783 bpp     24.6442 dB
 46:   0.0936 bpp     25.2662 dB
 45:   0.1103 bpp     25.8903 dB
 44:   0.1289 bpp     26.5306 dB
 43:   0.1504 bpp     27.2072 dB
 42:   0.1734 bpp     27.8861 dB
 41:   0.1970 bpp     28.5147 dB
 40:   0.2245 bpp     29.2007 dB
 39:   0.2541 bpp     29.8727 dB
 38:   0.2851 bpp     30.5447 dB
 37:   0.3212 bpp     31.2573 dB
 36:   0.3581 bpp     31.9404 dB
 35:   0.3961 bpp     32.5919 dB
 34:   0.4389 bpp     33.2732 dB
 33:   0.4838 bpp     33.9389 dB
 32:   0.5312 bpp     34.5870 dB
 31:   0.5857 bpp     35.2817 dB
 30:   0.6416 bpp     35.9364 dB
 29:   0.6980 bpp     36.5413 dB
 28:   0.7630 bpp     37.1735 dB
 27:   0.8334 bpp     37.8036 dB
 26:   0.9085 bpp     38.4238 dB
 25:   0.9970 bpp     39.0852 dB
 24:   1.0917 bpp     39.7433 dB
 23:   1.1973 bpp     40.4044 dB
 22:   1.3330 bpp     41.1988 dB
 21:   1.4874 bpp     42.0752 dB
 20:   1.6475 bpp     42.9603 dB
 19:   1.8219 bpp     43.9194 dB
 18:   1.9953 bpp     44.8718 dB
 17:   2.1671 bpp     45.7799 dB
 16:   2.3547 bpp     46.7833 dB
 15:   2.5419 bpp     47.7818 dB
 14:   2.7434 bpp     48.8261 dB
 13:   2.9429 bpp     49.8678 dB
 12:   3.1447 bpp     50.8957 dB
 11:   3.3336 bpp     51.8612 dB
 10:   3.5310 bpp     52.8641 dB
  9:   3.7417 bpp     53.9344 dB
  8:   3.9396 bpp     55.0740 dB
  7:   4.1827 bpp     56.7634 dB
  6:   4.3971 bpp     58.7196 dB
  5:   4.5959 bpp     61.5940 dB
  4:   4.7684 bpp     66.3063 dB
  3:   4.8733 bpp     72.4832 dB
  2:   4.9558 bpp     78.7061 dB
  1:   5.0826 bpp     85.8405 dB
  0:   5.2116 bpp     91.4753 dB


# kodim01.pgm
"kodim01"
 51:   0.0261 bpp     21.7008 dB
 50:   0.0309 bpp     22.0151 dB
 49:   0.0376 bpp     22.3397 dB
 48:   0.0469 bpp     22.7109 dB
 47:   0.0581 bpp     23.1250 dB
 46:   0.0706 bpp     23.5064 dB
 45:   0.0876 bpp     23.9644 dB
 44:   0.1086 bpp     24.4242 dB
 43:   0.1333 bpp     24.9104 dB
 42:   0.1652 bpp     25.4184 dB
 41:   0.1990 bpp     25.9367 dB
 40:   0.2383 bpp     26.4969 dB
 39:   0.2915 bpp     27.1271 dB
 38:   0.3447 bpp     27.7275 dB
 37:   0.4095 bpp     28.4239 dB
 36:   0.4820 bpp     29.1017 dB
 35:   0.5633 bpp     29.8379 dB
 34:   0.6526 bpp     30.5923 dB
 33:   0.7478 bpp     31.3766 dB
 32:   0.8515 bpp     32.1860 dB
 31:   0.9693 bpp     33.0636 dB
 30:   1.0928 bpp     33.9520 dB
 29:   1.2143 bpp     34.8018 dB
 28:   1.3503 bpp     35.7498 dB
 27:   1.4870 bpp     36.6797 dB
 26:   1.6259 bpp     37.5921 dB
 25:   1.7740 bpp     38.5682 dB
 24:   1.9272 bpp     39.5443 dB
 23:   2.0646 bpp     40.4298 dB
 22:   2.2221 bpp     41.4018 dB
 21:   2.3766 bpp     42.3587 dB
 20:   2.5307 bpp     43.2827 dB
 19:   2.6997 bpp     44.2933 dB
 18:   2.8699 bpp     45.2691 dB
 17:   3.0282 bpp     46.1602 dB
 16:   3.2069 bpp     47.1528 dB
 15:   3.3798 bpp     48.1372 dB
 14:   3.5590 bpp     49.1218 dB
 13:   3.7475 bpp     50.1221 dB
 12:   3.9399 bpp     51.1001 dB
 11:   4.1185 bpp     52.0267 dB
 10:   4.3136 bpp     53.0196 dB
  9:   4.5172 bpp     54.0845 dB
  8:   4.7082 bpp     55.2050 dB
  7:   4.9454 bpp     56.8963 dB
  6:   5.1637 bpp     58.8872 dB
  5:   5.3598 bpp     61.8155 dB
  4:   5.5578 bpp     68.3659 dB
  3:   5.6521 bpp     74.8811 dB
  2:   5.7511 bpp     80.6332 dB
  1:   5.8958 bpp     85.8817 dB
  0:   6.0541 bpp     90.2750 dB


# kodim02.pgm
"kodim02"
 51:   0.0071 bpp     27.3423 dB
 50:   0.0078 bpp     27.5332 dB
 49:   0.0096 bpp     27.8812 dB
 48:   0.0112 bpp     28.1038 dB
 47:   0.0133 bpp     28.7394 dB
 46:   0.0150 bpp     28.9639 dB
 45:   0.0185 bpp     29.3802 dB
 44:   0.0218 bpp     29.6437 dB
 43:   0.0267 bpp     29.9992 dB
 42:   0.0322 bpp     30.3942 dB
 41:   0.0396 bpp     30.7030 dB
 40:   0.0487 bpp     31.1426 dB
 39:   0.0595 bpp     31.5335 dB
 38:   0.0710 bpp     31.9007 dB
 37:   0.0899 bpp     32.4086 dB
 36:   0.1078 bpp     32.8128 dB
 35:   0.1303 bpp     33.2952 dB
 34:   0.1587 bpp     33.8257 dB
 33:   0.1939 bpp     34.3704 dB
 32:   0.2305 bpp     34.9573 dB
 31:   0.2744 bpp     35.5235 dB
 30:   0.3270 bpp     36.1501 dB
 29:   0.3828 bpp     36.7835 dB
 28:   0.4505 bpp     37.4653 dB
 27:   0.5220 bpp     38.1408 dB
 26:   0.5984 bpp     38.8105 dB
 25:   0.6909 bpp     39.5521 dB
 24:   0.7881 bpp     40.3348 dB
 23:   0.8881 bpp     41.0475 dB
 22:   1.0035 bpp     41.8286 dB
 21:   1.1212 bpp     42.6040 dB
 20:   1.2522 bpp     43.4053 dB
 19:   1.3981 bpp     44.2616 dB
 18:   1.5548 bpp     45.1619 dB
 17:   1.7050 bpp     46.0030 dB
 16:   1.8774 bpp     46.9580 dB
 15:   2.0521 bpp     47.9608 dB
 14:   2.2467 bpp     49.0147 dB
 13:   2.4363 bpp     50.0414 dB
 12:   2.6269 bpp     51.0326 dB
 11:   2.8218 bpp     52.0593 dB
 10:   3.0075 bpp     53.0434 dB
  9:   3.2126 bpp     54.1101 dB
  8:   3.4057 bpp     55.3024 dB
  7:   3.6628 bpp     57.2594 dB
  6:   3.8711 bpp     59.4004 dB
  5:   4.0762 bpp     63.7542 dB
  4:   4.1959 bpp     71.9049 dB
  3:   4.2476 bpp     79.9947 dB
  2:   4.3384 bpp     87.0014 dB
  1:   4.4771 bpp     91.0668 dB
  0:   4.5661 bpp     97.0874 dB


# kodim03.pgm
"kodim03"
 51:   0.0117 bpp     27.0649 dB
 50:   0.0137 bpp     27.5002 dB
 49:   0.0155 bpp     27.9347 dB
 48:   0.0179 bpp     28.2751 dB
 47:   0.0208 bpp     28.7969 dB
 46:   0.0241 bpp     29.2242 dB
 45:   0.0271 bpp     29.5969 dB
 44:   0.0306 bpp     29.9577 dB
 43:   0.0374 bpp     30.4386 dB
 42:   0.0435 bpp     30.8988 dB
 41:   0.0523 bpp     31.4090 dB
 40:   0.0632 bpp     31.9484 dB
 39:   0.0739 bpp     32.4404 dB
 38:   0.0881 bpp     33.0544 dB
 37:   0.1033 bpp     33.6678 dB
 36:   0.1225 bpp     34.3090 dB
 35:   0.1428 bpp     34.9228 dB
 34:   0.1651 bpp     35.5648 dB
 33:   0.1897 bpp     36.1985 dB
 32:   0.2162 bpp     36.8310 dB
 31:   0.2482 bpp     37.5157 dB
 30:   0.2806 bpp     38.1644 dB
 29:   0.3151 bpp     38.8031 dB
 28:   0.3565 bpp     39.4862 dB
 27:   0.3984 bpp     40.1455 dB
 26:   0.4442 bpp     40.8110 dB
 25:   0.4977 bpp     41.4857 dB
 24:   0.5527 bpp     42.1946 dB
 23:   0.6071 bpp     42.8479 dB
 22:   0.6708 bpp     43.4795 dB
 21:   0.7371 bpp     44.0967 dB
 20:   0.8079 bpp     44.7277 dB
 19:   0.8887 bpp     45.3606 dB
 18:   0.9721 bpp     45.9625 dB
 17:   1.0577 bpp     46.5281 dB
 16:   1.1681 bpp     47.1592 dB
 15:   1.2846 bpp     47.8242 dB
 14:   1.4304 bpp     48.5564 dB
 13:   1.6224 bpp     49.4753 dB
 12:   1.8498 bpp     50.5263 dB
 11:   2.0841 bpp     51.7163 dB
 10:   2.2872 bpp     52.7286 dB
  9:   2.4965 bpp     53.7886 dB
  8:   2.7067 bpp     54.9112 dB
  7:   2.9999 bpp     57.0765 dB
  6:   3.2034 bpp     59.1037 dB
  5:   3.4475 bpp     63.7164 dB
  4:   3.5571 bpp     69.0202 dB
  3:   3.6219 bpp     76.8508 dB
  2:   3.6638 bpp     81.0452 dB
  1:   3.7796 bpp     88.5141 dB
  0:   3.8734 bpp     91.2896 dB


# kodim04.pgm
"kodim04"
 51:   0.0153 bpp     26.4665 dB
 50:   0.0170 bpp     26.8148 dB
 49:   0.0196 bpp     27.2145 dB
 48:   0.0223 bpp     27.6020 dB
 47:   0.0253 bpp     27.9682 dB
 46:   0.0289 bpp     28.3287 dB
 45:   0.0328 bpp     28.6959 dB
 44:   0.0386 bpp     29.0071 dB
 43:   0.0457 bpp     29.4775 dB
 42:   0.0537 bpp     29.8629 dB
 41:   0.0629 bpp     30.2565 dB
 40:   0.0730 bpp     30.6995 dB
 39:   0.0869 bpp     31.1639 dB
 38:   0.1042 bpp     31.6417 dB
 37:   0.1232 bpp     32.1315 dB
 36:   0.1463 bpp     32.6286 dB
 35:   0.1700 bpp     33.1097 dB
 34:   0.2025 bpp     33.7163 dB
 33:   0.2377 bpp     34.2647 dB
 32:   0.2785 bpp     34.8987 dB
 31:   0.3265 bpp     35.5228 dB
 30:   0.3779 bpp     36.1564 dB
 29:   0.4336 bpp     36.7872 dB
 28:   0.4982 bpp     37.4529 dB
 27:   0.5693 bpp     38.1498 dB
 26:   0.6466 bpp     38.8198 dB
 25:   0.7342 bpp     39.5650 dB
 24:   0.8303 bpp     40.3338 dB
 23:   0.9257 bpp     41.0285 dB
 22:   1.0391 bpp     41.8007 dB
 21:   1.1591 bpp     42.5671 dB
 20:   1.2845 bpp     43.3612 dB
 19:   1.4320 bpp     44.2461 dB
 18:   1.5852 bpp     45.1190 dB
 17:   1.7387 bpp     45.9834 dB
 16:   1.9069 bpp     46.9012 dB
 15:   2.0808 bpp     47.8632 dB
 14:   2.2709 bpp     48.8871 dB
 13:   2.4639 bpp     49.8905 dB
 12:   2.6651 bpp     50.9188 dB
 11:   2.8579 bpp     51.9018 dB
 10:   3.0542 bpp     52.9278 dB
  9:   3.2630 bpp     54.0062 dB
  8:   3.4639 bpp     55.1952 dB
  7:   3.7098 bpp     57.0127 dB
  6:   3.9222 bpp     59.0453 dB
  5:   4.1457 bpp     62.8869 dB
  4:   4.2966 bpp     69.9424 dB
  3:   4.3546 bpp     76.0631 dB
  2:   4.4397 bpp     81.5003 dB
  1:   4.5746 bpp     86.5184 dB
  0:   4.7054 bpp     91.7726 dB


# kodim05.pgm
"kodim05"
 51:   0.0483 bpp     20.8556 dB
 50:   0.0581 bpp     21.3221 dB
 49:   0.0687 bpp     21.7688 dB
 48:   0.0824 bpp     22.2471 dB
 47:   0.0976 bpp     22.7219 dB
 46:   0.1175 bpp     23.3153 dB
 45:   0.1379 bpp     23.8325 dB
 44:   0.1643 bpp     24.4244 dB
 43:   0.1945 bpp     25.0531 dB
 42:   0.2258 bpp     25.6778 dB
 41:   0.2633 bpp     26.3284 dB
 40:   0.3032 bpp     26.9560 dB
 39:   0.3487 bpp     27.6535 dB
 38:   0.4023 bpp     28.3517 dB
 37:   0.4617 bpp     29.1090 dB
 36:   0.5208 bpp     29.8059 dB
 35:   0.5913 bpp     30.5824 dB
 34:   0.6656 bpp     31.3741 dB
 33:   0.7413 bpp     32.1193 dB
 32:   0.8281 bpp     32.9346 dB
 31:   0.9208 bpp     33.7747 dB
 30:   1.0187 bpp     34.6077 dB
 29:   1.1157 bpp     35.4063 dB
 28:   1.2298 bpp     36.3063 dB
 27:   1.3411 bpp     37.1490 dB
 26:   1.4590 bpp     38.0052 dB
 25:   1.5914 bpp     38.9310 dB
 24:   1.7184 bpp     39.8188 dB
 23:   1.8422 bpp     40.6577 dB
 22:   1.9848 bpp     41.5627 dB
 21:   2.1224 bpp     42.4422 dB
 20:   2.2672 bpp     43.3290 dB
 19:   2.4255 bpp     44.2710 dB
 18:   2.5807 bpp     45.1706 dB
 17:   2.7313 bpp     46.0221 dB
 16:   2.9048 bpp     46.9722 dB
 15:   3.0778 bpp     47.9162 dB
 14:   3.2564 bpp     48.8678 dB
 13:   3.4510 bpp     49.8719 dB
 12:   3.6450 bpp     50.8446 dB
 11:   3.8259 bpp     51.7742 dB
 10:   4.0212 bpp     52.7592 dB
  9:   4.2331 bpp     53.8207 dB
  8:   4.4334 bpp     54.9260 dB
  7:   4.6687 bpp     56.4866 dB
  6:   4.8876 bpp     58.3647 dB
  5:   5.0944 bpp     60.9524 dB
  4:   5.3046 bpp     66.2302 dB
  3:   5.4193 bpp     72.3104 dB
  2:   5.5033 bpp     77.2287 dB
  1:   5.6283 bpp     83.0050 dB
  0:   5.7749 bpp     85.6261 dB


# kodim06.pgm
"kodim06"
 51:   0.0173 bpp     22.9911 dB
 50:   0.0215 bpp     23.2833 dB
 49:   0.0273 bpp     23.6154 dB
 48:   0.0344 bpp     24.1316 dB
 47:   0.0420 bpp     24.4324 dB
 46:   0.0518 bpp     24.8877 dB
 45:   0.0645 bpp     25.2856 dB
 44:   0.0789 bpp     25.7734 dB
 43:   0.0993 bpp     26.3126 dB
 42:   0.1206 bpp     26.8688 dB
 41:   0.1466 bpp     27.4165 dB
 40:   0.1761 bpp     27.9970 dB
 39:   0.2116 bpp     28.6581 dB
 38:   0.2497 bpp     29.2646 dB
 37:   0.2957 bpp     29.9572 dB
 36:   0.3458 bpp     30.6700 dB
 35:   0.3961 bpp     31.3114 dB
 34:   0.4594 bpp     32.0580 dB
 33:   0.5256 bpp     32.7967 dB
 32:   0.5945 bpp     33.5258 dB
 31:   0.6726 bpp     34.3274 dB
 30:   0.7565 bpp     35.1086 dB
 29:   0.8411 bpp     35.8809 dB
 28:   0.9345 bpp     36.6942 dB
 27:   1.0315 bpp     37.4990 dB
 26:   1.1375 bpp     38.3271 dB
 25:   1.2532 bpp     39.1951 dB
 24:   1.3695 bpp     40.0780 dB
 23:   1.4913 bpp     40.9285 dB
 22:   1.6192 bpp     41.8152 dB
 21:   1.7505 bpp     42.6740 dB
 20:   1.8873 bpp     43.5629 dB
 19:   2.0396 bpp     44.5105 dB
 18:   2.1882 bpp     45.4115 dB
 17:   2.3416 bpp     46.2872 dB
 16:   2.5049 bpp     47.2236 dB
 15:   2.6801 bpp     48.2717 dB
 14:   2.8598 bpp     49.2810 dB
 13:   3.0510 bpp     50.3448 dB
 12:   3.2267 bpp     51.3368 dB
 11:   3.4021 bpp     52.2829 dB
 10:   3.5723 bpp     53.2449 dB
  9:   3.7744 bpp     54.2963 dB
  8:   3.9509 bpp     55.3861 dB
  7:   4.1798 bpp     57.1210 dB
  6:   4.3943 bpp     59.0684 dB
  5:   4.5841 bpp     62.0337 dB
  4:   4.7582 bpp     67.6942 dB
  3:   4.8469 bpp     73.6949 dB
  2:   4.9307 bpp     79.8120 dB
  1:   5.0496 bpp     84.8343 dB
  0:   5.1825 bpp     88.5141 dB


# kodim07.pgm
"kodim07"
 51:   0.0245 bpp     24.9486 dB
 50:   0.0279 bpp     25.3538 dB
 49:   0.0335 bpp     25.9739 dB
 48:   0.0388 bpp     26.5230 dB
 47:   0.0452 bpp     27.0118 dB
 46:   0.0524 bpp     27.6462 dB
 45:   0.0607 bpp     28.1979 dB
 44:   0.0706 bpp     28.8529 dB
 43:   0.0807 bpp     29.4700 dB
 42:   0.0931 bpp     30.0545 dB
 41:   0.1056 bpp     30.6335 dB
 40:   0.1203 bpp     31.2696 dB
 39:   0.1355 bpp     31.8855 dB
 38:   0.1537 bpp     32.5681 dB
 37:   0.1734 bpp     33.2482 dB
 36:   0.1959 bpp     33.9450 dB
 35:   0.2167 bpp     34.5548 dB
 34:   0.2439 bpp     35.2460 dB
 33:   0.2709 bpp     35.9130 dB
 32:   0.3019 bpp     36.6198 dB
 31:   0.3355 bpp     37.3183 dB
 30:   0.3707 bpp     37.9869 dB
 29:   0.4095 bpp     38.6948 dB
 28:   0.4507 bpp     39.4157 dB
 27:   0.4953 bpp     40.0793 dB
 26:   0.5422 bpp     40.7384 dB
 25:   0.5978 bpp     41.4634 dB
 24:   0.6517 bpp     42.1075 dB
 23:   0.7079 bpp     42.7240 dB
 22:   0.7715 bpp     43.3767 dB
 21:   0.8388 bpp     43.9891 dB
 20:   0.9081 bpp     44.5757 dB
 19:   0.9892 bpp     45.1820 dB
 18:   1.0732 bpp     45.7661 dB
 17:   1.1646 bpp     46.3090 dB
 16:   1.2753 bpp     46.9075 dB
 15:   1.4048 bpp     47.6145 dB
 14:   1.5862 bpp     48.4654 dB
 13:   1.8079 bpp     49.4958 dB
 12:   2.0393 bpp     50.6015 dB
 11:   2.2615 bpp     51.7255 dB
 10:   2.4488 bpp     52.6956 dB
  9:   2.6561 bpp     53.7112 dB
  8:   2.8659 bpp     54.8651 dB
  7:   3.1481 bpp     56.8918 dB
  6:   3.3534 bpp     58.8182 dB
  5:   3.5781 bpp     62.8846 dB
  4:   3.7030 bpp     67.5789 dB
  3:   3.7786 bpp     73.6317 dB
  2:   3.8369 bpp     79.5135 dB
  1:   3.9528 bpp     84.7321 dB
  0:   4.0500 bpp     89.6055 dB


# kodim08.pgm
"kodim08"
 51:   0.0617 bpp     20.5708 dB
 50:   0.0718 bpp     21.0194 dB
 49:   0.0869 bpp     21.6015 dB
 48:   0.1007 bpp     22.1309 dB
 47:   0.1189 bpp     22.7016 dB
 46:   0.1404 bpp     23.3097 dB
 45:   0.1612 bpp     23.8786 dB
 44:   0.1861 bpp     24.4368 dB
 43:   0.2158 bpp     25.0869 dB
 42:   0.2493 bpp     25.6960 dB
 41:   0.2869 bpp     26.3945 dB
 40:   0.3263 bpp     27.0317 dB
 39:   0.3715 bpp     27.6942 dB
 38:   0.4179 bpp     28.3376 dB
 37:   0.4751 bpp     29.0575 dB
 36:   0.5363 bpp     29.7886 dB
 35:   0.5989 bpp     30.4682 dB
 34:   0.6713 bpp     31.2003 dB
 33:   0.7471 bpp     31.9165 dB
 32:   0.8308 bpp     32.6636 dB
 31:   0.9282 bpp     33.4589 dB
 30:   1.0253 bpp     34.2171 dB
 29:   1.1311 bpp     34.9881 dB
 28:   1.2464 bpp     35.8088 dB
 27:   1.3662 bpp     36.6144 dB
 26:   1.4937 bpp     37.4235 dB
 25:   1.6352 bpp     38.2897 dB
 24:   1.7821 bpp     39.1670 dB
 23:   1.9307 bpp     40.0240 dB
 22:   2.1019 bpp     40.9826 dB
 21:   2.2735 bpp     41.9438 dB
 20:   2.4444 bpp     42.8875 dB
 19:   2.6302 bpp     43.9293 dB
 18:   2.8149 bpp     44.9494 dB
 17:   2.9911 bpp     45.9182 dB
 16:   3.1842 bpp     46.9834 dB
 15:   3.3704 bpp     48.0129 dB
 14:   3.5638 bpp     49.0885 dB
 13:   3.7522 bpp     50.1306 dB
 12:   3.9364 bpp     51.0684 dB
 11:   4.1119 bpp     51.9917 dB
 10:   4.3034 bpp     52.9759 dB
  9:   4.5011 bpp     53.9972 dB
  8:   4.6991 bpp     55.1361 dB
  7:   4.9277 bpp     56.7211 dB
  6:   5.1450 bpp     58.5960 dB
  5:   5.3328 bpp     61.2049 dB
  4:   5.5320 bpp     66.8164 dB
  3:   5.6470 bpp     72.8191 dB
  2:   5.7561 bpp     78.3834 dB
  1:   5.8956 bpp     83.2853 dB
  0:   6.0367 bpp     86.5184 dB


# kodim09.pgm
"kodim09"
 51:   0.0177 bpp     25.8754 dB
 50:   0.0203 bpp     26.2476 dB
 49:   0.0237 bpp     26.8118 dB
 48:   0.0277 bpp     27.3130 dB
 47:   0.0317 bpp     27.7754 dB
 46:   0.0368 bpp     28.3402 dB
 45:   0.0426 bpp     28.8739 dB
 44:   0.0488 bpp     29.3620 dB
 43:   0.0567 bpp     29.9017 dB
 42:   0.0656 bpp     30.5175 dB
 41:   0.0768 bpp     31.0520 dB
 40:   0.0888 bpp     31.6103 dB
 39:   0.1034 bpp     32.2183 dB
 38:   0.1167 bpp     32.7687 dB
 37:   0.1331 bpp     33.3569 dB
 36:   0.1531 bpp     34.0298 dB
 35:   0.1734 bpp     34.5844 dB
 34:   0.1960 bpp     35.1796 dB
 33:   0.2209 bpp     35.8037 dB
 32:   0.2483 bpp     36.4176 dB
 31:   0.2795 bpp     37.0466 dB
 30:   0.3127 bpp     37.6240 dB
 29:   0.3458 bpp     38.1707 dB
 28:   0.3829 bpp     38.7008 dB
 27:   0.4244 bpp     39.2344 dB
 26:   0.4679 bpp     39.7481 dB
 25:   0.5164 bpp     40.2276 dB
 24:   0.5709 bpp     40.7221 dB
 23:   0.6264 bpp     41.1421 dB
